machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
pi-i9-13900k	gmp	10_min	74	up_t8	8	0,2,4,6,8,10,12,14	e3e82d8dfcd9b7c3	1	9.59	9.548026	61	pdOPT	-4.7926054387208136e-01	12.9	ok	0	out_main/rows_Amin_t8.tsv
pi-i9-13900k	gmp	10_min	74	up_t8	8	0,2,4,6,8,10,12,14	e3e82d8dfcd9b7c3	2	9.57	9.531071	61	pdOPT	-4.7926054387208136e-01	12.8	ok	0	out_main/rows_Amin_t8.tsv
pi-i9-13900k	gmp	10_min	74	up_t8	8	0,2,4,6,8,10,12,14	e3e82d8dfcd9b7c3	3	9.6	9.559194	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0	out_main/rows_Amin_t8.tsv
pi-i9-13900k	gmp	10_min	74	fork_t8	8	0,2,4,6,8,10,12,14	e3e82d8dfcd9b7c3	1	5.47	5.414016	61	pdOPT	-4.7926054387208136e-01	14.4	ok	0	out_main/rows_Amin_t8.tsv
pi-i9-13900k	gmp	10_min	74	fork_t8	8	0,2,4,6,8,10,12,14	e3e82d8dfcd9b7c3	2	5.46	5.404703	61	pdOPT	-4.7926054387208136e-01	14.4	ok	0	out_main/rows_Amin_t8.tsv
pi-i9-13900k	gmp	10_min	74	fork_t8	8	0,2,4,6,8,10,12,14	e3e82d8dfcd9b7c3	3	5.49	5.426553	61	pdOPT	-4.7926054387208136e-01	14.6	ok	0	out_main/rows_Amin_t8.tsv
pi-i9-13900k	gmp	control1	21	fork_t1	1	0	33f968827a10dca7	1	0.09	0.097270	46	pdOPT	1.7784626717523405e+01	5.7	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	control1	21	fork_t1	1	0	33f968827a10dca7	2	0.09	0.097587	46	pdOPT	1.7784626717523405e+01	5.5	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	control1	21	fork_t1	1	0	33f968827a10dca7	3	0.09	0.097440	46	pdOPT	1.7784626717523405e+01	5.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	control1	21	up_t1	1	0	33f968827a10dca7	1	0.1	0.100388	46	pdOPT	1.7784626717523405e+01	5.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	control1	21	up_t1	1	0	33f968827a10dca7	2	0.1	0.100520	46	pdOPT	1.7784626717523405e+01	5.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	control1	21	up_t1	1	0	33f968827a10dca7	3	0.1	0.100768	46	pdOPT	1.7784626717523405e+01	5.3	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	theta1	104	fork_t1	1	0	33f968827a10dca7	1	1.33	1.326839	43	pdOPT	2.3000000000000000e+01	9.3	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	theta1	104	fork_t1	1	0	33f968827a10dca7	2	1.33	1.326360	43	pdOPT	2.3000000000000000e+01	9.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	theta1	104	fork_t1	1	0	33f968827a10dca7	3	1.33	1.327023	43	pdOPT	2.3000000000000000e+01	9.3	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	theta1	104	up_t1	1	0	33f968827a10dca7	1	1.58	1.575713	43	pdOPT	2.3000000000000000e+01	9.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	theta1	104	up_t1	1	0	33f968827a10dca7	2	1.58	1.576622	43	pdOPT	2.3000000000000000e+01	9.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	theta1	104	up_t1	1	0	33f968827a10dca7	3	1.59	1.592661	43	pdOPT	2.3000000000000000e+01	9.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	gpp100	101	fork_t1	1	0	33f968827a10dca7	1	16.7	16.692415	61	pFEAS	-4.4943550775891146e+01	17.4	partial	3	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	gpp100	101	fork_t1	1	0	33f968827a10dca7	2	16.69	16.676652	61	pFEAS	-4.4943550775891146e+01	17.4	partial	3	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	gpp100	101	fork_t1	1	0	33f968827a10dca7	3	16.7	16.694170	61	pFEAS	-4.4943550775891146e+01	17.4	partial	3	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	gpp100	101	up_t1	1	0	33f968827a10dca7	1	18.31	18.300998	61	pFEAS	-4.4943550775891146e+01	17.9	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	gpp100	101	up_t1	1	0	33f968827a10dca7	2	18.26	18.247167	61	pFEAS	-4.4943550775891146e+01	17.8	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	gpp100	101	up_t1	1	0	33f968827a10dca7	3	18.29	18.277584	61	pFEAS	-4.4943550775891146e+01	17.9	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	truss5	208	fork_t1	1	0	33f968827a10dca7	1	5.19	5.180402	48	pdOPT	-1.3263567797250604e+02	13.5	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	truss5	208	fork_t1	1	0	33f968827a10dca7	2	5.16	5.157221	48	pdOPT	-1.3263567797250604e+02	13.3	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	truss5	208	fork_t1	1	0	33f968827a10dca7	3	5.16	5.156814	48	pdOPT	-1.3263567797250604e+02	13.3	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	truss5	208	up_t1	1	0	33f968827a10dca7	1	5.65	5.638801	48	pdOPT	-1.3263567797250604e+02	13.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	truss5	208	up_t1	1	0	33f968827a10dca7	2	5.61	5.602994	48	pdOPT	-1.3263567797250604e+02	13.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	truss5	208	up_t1	1	0	33f968827a10dca7	3	5.61	5.604906	48	pdOPT	-1.3263567797250604e+02	13.4	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	arch0	174	fork_t1	1	0	33f968827a10dca7	1	59.59	59.566534	53	pdOPT	5.6651727321592959e-01	34.8	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	arch0	174	fork_t1	1	0	33f968827a10dca7	2	59.74	59.716723	53	pdOPT	5.6651727321592959e-01	34.8	ok	0	out_main/rows_Asdplib_t1.tsv
pi-i9-13900k	gmp	arch0	174	fork_t1	1	0	33f968827a10dca7	3	59.63	59.598902	53	pdOPT	5.6651727321592959e-01	35.0	ok	0	out_main/rows_Asdplib_t1.tsv
